Instance Name; Instance ID, AWS Region
SC-PROD-UE1-B_CRWorker_i-c7af0ca8;i-c7af0ca8;
SC-PROD-UE1-B_ExportPDFWorker_i-ce02b5ad;i-ce02b5ad;
jenkinsNeo4JWriteWorker_36;i-a3d8a3c7;
SC-STAGE-UE1-A_ServiceContainer_i-32e4d359;i-32e4d359;
SC-LABS_ActionsWorker_i-67166408;i-67166408;
SC-STAGE-EW1-A_PSLWorker_i-2a424467;i-2a424467;
MONGO-SC-STAGE-UE1-PERMANENT_MongoDB-RS01N02_i-2e567642;i-2e567642;
SC-STAGE-AN1-A_VideoStreamingWorker_i-385a143a;i-385a143a;
SC-STAGE-UE1-A_STDWorker_i-fb815896;i-fb815896;
SC-PROD-UE1-B_PDFWorker_i-5203e131;i-5203e131;
SC-DEV-EU-QE1_CRWorker_i-2a300767;i-2a300767;
SC-PROD-EW1-B_CRWorker_i-202e296d;i-202e296d;
SC-STAGE-UE1-A_ServiceContainer_i-2c6dbb46;i-2c6dbb46;
SC-STAGE-EW1-A_ServiceContainer_i-0ea5a643;i-0ea5a643;
SC-STAGE-EW1-A_ServiceContainer_i-b3ca2dff;i-b3ca2dff;
SC-PROD-UE1-B_PSLWorker_i-2f24cc40;i-2f24cc40;
SC-STAGE-EW1-A_PSLWorker_i-faeeefb7;i-faeeefb7;
SC-DEV-QE1_CreatePDFWorker-ETC_i-54b4c431;i-54b4c431;
SC-PROD-UE1-B_ExportPDFWorker_i-1e165775;i-1e165775;
SC-PROD-UE1-B_ExportPDFWorker_i-c00049ab;i-c00049ab;
SC-PROD-EW1-A_VideoWorker_i-610bea2d;i-610bea2d;
SC-PROD-EW1-B_STDWorker_i-fa0d1cb7;i-fa0d1cb7;
SC-STAGE-EW1-A_ServiceContainer_i-bc0019f1;i-bc0019f1;
SC-PROD-EW1-B_PSLWorker_i-b47743f9;i-b47743f9;
SC-PROD-UE1-B_CreatePDFWorker-EPT_i-279f234f;i-279f234f;
SC-STAGE-EW1-A_ServiceContainer_i-d7c92e9b;i-d7c92e9b;
SC-DEV-QE2_GraphiteJSONExtractionWorker_i-fc878595;i-fc878595;
SC-STAGE-UE1-A_STDWorker_i-267f0c4c;i-267f0c4c;
SC-STAGE-UE1-A_ServiceContainer_i-716b3913;i-716b3913;
SC-PROD-UE1-B_PDFWorker_i-2f71b74f;i-2f71b74f;
SC-PROD-EW1-B_VideoRightsWorker_i-9e4208d3;i-9e4208d3;
SC-PROD-UE1-B_STDWorker_i-16247978;i-16247978;
SC-PROD-UE1-B_PDFWorker_i-196ae571;i-196ae571;
SC-PROD-EW1-A_STDWorker_i-eb5eb7a5;i-eb5eb7a5;
SC-PROD-UE1-B_ExportPDFWorker_i-4153ce23;i-4153ce23;
SC-STAGE-EW1-A_ServiceContainer_i-b5ca2df9;i-b5ca2df9;
SC-LABS_TestAgent_i-bf3979dd;i-bf3979dd;
SC-PROD-EW1-A_PDFWorker_i-3c322371;i-3c322371;
SC-STAGE-UE1-A_ServiceContainer_i-ef4f688d;i-ef4f688d;
SC-PROD-EW1-A_UCFWorker_i-c4322389;i-c4322389;
SC-STAGE-UE1-A_ExportPDFWorker_i-4716f02f;i-4716f02f;
SC-PROD-UE1-B_PDFWorker_i-a83e12cb;i-a83e12cb;
SC-STAGE-EW1-A_STDWorker_i-0e414743;i-0e414743;
SC-STAGE-UE1-A_ServiceContainer_i-c66260af;i-c66260af;
SC-PROD-AN1-B_XMPWorker_i-52f4a550;i-52f4a550;
SC-LABS_PabloWorker_i-d7d9fbb7;i-d7d9fbb7;
SC-PROD-UE1-B_CreatePDFWorker-DOC_i-238bf54c;i-238bf54c;
SC-STAGE-UE1-A_ServiceContainer_i-a75ef5c5;i-a75ef5c5;
SC-PROD-UE1-B_ExportPDFWorker_i-0221b06a;i-0221b06a;
SC-PROD-UE1-B_HemlockContainerSA_i-657f4d0a;i-657f4d0a;
SC-PROD-UE1-B_PDF2ImageWorker_i-0157f063;i-0157f063;
SC-PROD-EW1-B_CRWorker_i-3042087d;i-3042087d;
SC-PROD-UE1-B_ExportPDFWorker_i-a4dd59c5;i-a4dd59c5;
SC-STAGE-UE1-A_ServiceContainer_i-68eddb01;i-68eddb01;
